f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i0,RSIC 0,0,ᛞ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i1,RSIC 1,1,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i2,RSIC 2,2,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i3,RSIC 3,3,ᛊ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i4,RSIC 4,4,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i5,RSIC 5,5,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i6,RSIC 6,6,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i7,RSIC 7,7,ᛟ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i8,RSIC 8,8,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i9,RSIC 9,9,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i10,RSIC 10,10,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i11,RSIC 11,11,ᚹ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i12,RSIC 12,12,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i13,RSIC 13,13,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i14,RSIC 14,14,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i15,RSIC 15,15,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i16,RSIC 16,16,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i17,RSIC 17,17,ᛞ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i18,RSIC 18,18,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i19,RSIC 19,19,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i20,RSIC 20,20,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i21,RSIC 21,21,ᛊ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i22,RSIC 22,22,ᛊ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i23,RSIC 23,23,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i24,RSIC 24,24,ᚹ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i25,RSIC 25,25,ᚺ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i26,RSIC 26,26,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i27,RSIC 27,27,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i28,RSIC 28,28,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i29,RSIC 29,29,ᚾ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i30,RSIC 30,30,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i31,RSIC 31,31,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i32,RSIC 32,32,ᚾ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i33,RSIC 33,33,ᛊ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i34,RSIC 34,34,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i35,RSIC 35,35,ᛟ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i36,RSIC 36,36,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i37,RSIC 37,37,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i38,RSIC 38,38,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i39,RSIC 39,39,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i40,RSIC 40,40,ᚷ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i41,RSIC 41,41,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i42,RSIC 42,42,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i43,RSIC 43,43,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i44,RSIC 44,44,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i45,RSIC 45,45,ᛞ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i46,RSIC 46,46,ᛟ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i47,RSIC 47,47,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i48,RSIC 48,48,ᛊ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i49,RSIC 49,49,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i50,RSIC 50,50,ᛞ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i51,RSIC 51,51,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i52,RSIC 52,52,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i53,RSIC 53,53,ᛞ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i54,RSIC 54,54,ᛞ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i55,RSIC 55,55,ᛊ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i56,RSIC 56,56,ᛞ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i57,RSIC 57,57,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i58,RSIC 58,58,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i59,RSIC 59,59,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i60,RSIC 60,60,ᛟ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i61,RSIC 61,61,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i62,RSIC 62,62,ᛟ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i63,RSIC 63,63,ᛊ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i64,RSIC 64,64,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i65,RSIC 65,65,ᛊ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i66,RSIC 66,66,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i67,RSIC 67,67,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i68,RSIC 68,68,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i69,RSIC 69,69,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i70,RSIC 70,70,ᚾ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i71,RSIC 71,71,ᛟ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i72,RSIC 72,72,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i73,RSIC 73,73,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i74,RSIC 74,74,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i75,RSIC 75,75,ᛟ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i76,RSIC 76,76,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i77,RSIC 77,77,ᛟ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i78,RSIC 78,78,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i79,RSIC 79,79,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i80,RSIC 80,80,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i81,RSIC 81,81,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i82,RSIC 82,82,ᛊ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i83,RSIC 83,83,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i84,RSIC 84,84,ᛃ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i85,RSIC 85,85,ᛟ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i86,RSIC 86,86,ᛟ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i87,RSIC 87,87,ᛏ
f7e51efdc501516efaaf27634ae71382d621a607123c2ab32174f3dd5001ea93i88,RSIC 88,88,ᛊ
